nombre_articulo,descripcion,modulo,ubicacion,asignacion,estado,fecha_de_adquisición,marca,modelo,codigo_interno,cantidad,estado_conservacion,stock_actual,stock_critico,unidad_medida,es_perecible,grupo,categoria,presentacion,proveedor_referencia,medida,porcentaje_desperdicio,cantidad_minima,precio_referencial,fuente_datos,hoja_origen,numero_origen
RON RUBIO - CARTAVIO,Licor: RON RUBIO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CARTAVIO,,LIC-0012,,,2,0,U,No,LICORES,RON RUBIO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,13
RON RUBIO - DIPLOMATICO,Licor: RON RUBIO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DIPLOMATICO,,LIC-0013,,,1,0,U,No,LICORES,RON RUBIO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,14
RON RUBIO - SELECTO,Licor: RON RUBIO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SELECTO,,LIC-0014,,,1,0,U,No,LICORES,RON RUBIO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,15
CACHAZ - 21,Licor: CACHAZ,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,21,,LIC-0015,,,1,0,U,No,LICORES,CACHAZ,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,16
CACHAZ - PITÚ,Licor: CACHAZ,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PITÚ,,LIC-0016,,,1,0,U,No,LICORES,CACHAZ,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,17
LICOR DE NARANJA - TRIPLE SEC,Licor: LICOR DE NARANJA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,TRIPLE SEC,,LIC-0017,,,1,0,U,No,LICORES,LICOR DE NARANJA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,18
LICOR DE NARANJA - TRES PLUMAS,Licor: LICOR DE NARANJA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,TRES PLUMAS,,LIC-0018,,,1,0,U,No,LICORES,LICOR DE NARANJA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,19
LICOR DE NARANJA - COINTREAU,Licor: LICOR DE NARANJA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,COINTREAU,,LIC-0019,,,1,0,U,No,LICORES,LICOR DE NARANJA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,20
LICOR DE MENTA - NAJAR,Licor: LICOR DE MENTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,NAJAR,,LIC-0020,,,1,0,U,No,LICORES,LICOR DE MENTA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,21
LICOR DE MENTA - BOLS,Licor: LICOR DE MENTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BOLS,,LIC-0021,,,1,0,U,No,LICORES,LICOR DE MENTA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,22
LICOR DE MENTA - DU BOUCHETT,Licor: LICOR DE MENTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DU BOUCHETT,,LIC-0022,,,1,0,U,No,LICORES,LICOR DE MENTA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,23
AMARETO - MITJANNS,Licor: AMARETO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MITJANNS,,LIC-0023,,,1,0,U,No,LICORES,AMARETO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,24
LICOR DE CACAO - DU BOUCHETT,Licor: LICOR DE CACAO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DU BOUCHETT,,LIC-0024,,,1,0,U,No,LICORES,LICOR DE CACAO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,25
LICOR DE DURASNO - BOLS ANSTERDAY,Licor: LICOR DE DURASNO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BOLS ANSTERDAY,,LIC-0025,,,1,0,U,No,LICORES,LICOR DE DURASNO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,26
LICOR DE DURASNO - DU BOUCHETT,Licor: LICOR DE DURASNO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DU BOUCHETT,,LIC-0026,,,1,0,U,No,LICORES,LICOR DE DURASNO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,27
PERFECTO AMOR - NAJAR,Licor: PERFECTO AMOR,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,NAJAR,,LIC-0027,,,1,0,U,No,LICORES,PERFECTO AMOR,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,28
LICOR DE NARANJA AMARGO - MITJANS,Licor: LICOR DE NARANJA AMARGO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MITJANS,,LIC-0028,,,1,0,U,No,LICORES,LICOR DE NARANJA AMARGO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,29
ANISADO - ANIS NAJAR,Licor: ANISADO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ANIS NAJAR,,LIC-0029,,,4,0,U,No,LICORES,ANISADO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,30
PISCO ACHOLADO - DEMONIO DE LOS ANDES,Licor: PISCO ACHOLADO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DEMONIO DE LOS ANDES,,LIC-0030,,,1,0,U,No,LICORES,PISCO ACHOLADO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,31
PISCO QUEBRANTA - DEMONIO DE LOS ANDES,Licor: PISCO QUEBRANTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DEMONIO DE LOS ANDES,,LIC-0031,,,1,0,U,No,LICORES,PISCO QUEBRANTA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,32
PISCO QUEBRANTA - PORTON,Licor: PISCO QUEBRANTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PORTON,,LIC-0032,,,1,0,U,No,LICORES,PISCO QUEBRANTA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,33
PISCO QUEBRANTA - EL CAÑON,Licor: PISCO QUEBRANTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,EL CAÑON,,LIC-0033,,,1,0,U,No,LICORES,PISCO QUEBRANTA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,34
PISCO QUEBRANTA - NAJAR,Licor: PISCO QUEBRANTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,NAJAR,,LIC-0034,,,1,0,U,No,LICORES,PISCO QUEBRANTA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,35
PISCO QUEBRANTA - BAU BARATE,Licor: PISCO QUEBRANTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BAU BARATE,,LIC-0035,,,1,0,U,No,LICORES,PISCO QUEBRANTA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,36
GIM - BONBY SAPPKIRE,Licor: GIM,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BONBY SAPPKIRE,,LIC-0036,,,1,0,U,No,LICORES,GIM,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,37
BRANDY - MAJES TRADICION,Licor: BRANDY,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MAJES TRADICION,,LIC-0037,,,1,0,U,No,LICORES,BRANDY,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,38
LICOR CHERRY - BOLS,Licor: LICOR CHERRY,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BOLS,,LIC-0038,,,1,0,U,No,LICORES,LICOR CHERRY,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,39
LICOR DE MANZANA - WISLAN,Licor: LICOR DE MANZANA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,WISLAN,,LIC-0039,,,1,0,U,No,LICORES,LICOR DE MANZANA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,40
VERMUT ROSSO - MARTN,Licor: VERMUT ROSSO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MARTN,,LIC-0040,,,1,0,U,No,LICORES,VERMUT ROSSO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,41
ANISADO - SIN MARCA,Licor: ANISADO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,,LIC-0041,,,3,0,U,No,LICORES,ANISADO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,42
